Date,Tata Motors PV,Maruti Suzuki,Mahindra & Mahindra,Bajaj Auto,Ashok Leyland,Hyundai Motor India,Toyota Motor,Volkswagen AG,NIFTY 50,NIFTY Auto
2026-01-01,367.54998779296875,16708.0,3761.0,9558.0,184.8800048828125,2310.800048828125,,,26146.55078125,
2026-01-02,370.3500061035156,16960.0,3802.39990234375,9502.5,188.77999877929688,2267.89990234375,217.8699951171875,12.539999961853027,26328.55078125,28803.650390625
2026-01-05,373.54998779296875,17155.0,3790.300048828125,9497.5,187.75999450683594,2281.60009765625,218.86000061035156,12.210000038146973,26250.30078125,28894.150390625
2026-01-06,368.8999938964844,17292.0,3785.60009765625,9661.0,186.14999389648438,2306.699951171875,215.27000427246094,12.140000343322754,26178.69921875,28922.349609375
2026-01-07,363.3500061035156,16809.0,3748.800048828125,9789.5,186.1199951171875,2362.0,213.3300018310547,12.010000228881836,26140.75,28692.400390625
2026-01-08,359.45001220703125,16664.0,3724.0,9760.5,184.52000427246094,2350.5,214.72999572753906,11.949999809265137,25876.849609375,28414.94921875
2026-01-09,354.1499938964844,16501.0,3677.300048828125,9562.5,187.75999450683594,2264.199951171875,221.52000427246094,12.140000343322754,25683.30078125,28087.650390625
2026-01-12,350.54998779296875,16582.0,3682.0,9491.0,187.00999450683594,2295.800048828125,222.58999633789062,11.970000267028809,25790.25,28011.75
2026-01-13,349.75,16426.0,3661.5,9554.0,185.6999969482422,2306.39990234375,229.02999877929688,11.960000038146973,25732.30078125,27915.099609375
2026-01-14,349.79998779296875,16152.0,3649.5,9579.5,186.88999938964844,2317.10009765625,227.3000030517578,12.227999687194824,25665.599609375,27721.849609375
2026-01-16,353.6000061035156,15859.0,3658.199951171875,9489.0,184.25,2340.39990234375,231.4199981689453,11.6899995803833,25694.349609375,27596.25
2026-01-19,344.0,16176.0,3657.39990234375,9429.5,187.97999572753906,2346.39990234375,,,25585.5,27632.44921875
2026-01-20,337.8500061035156,15879.0,3557.5,9180.0,180.7899932861328,2319.10009765625,220.47000122070312,11.399999618530273,25232.5,26948.099609375
2026-01-21,339.25,15770.0,3553.300048828125,9179.0,181.24000549316406,2279.699951171875,227.74000549316406,11.989999771118164,25157.5,26871.25
2026-01-22,347.29998779296875,15765.0,3573.699951171875,9370.0,190.27999877929688,2277.800048828125,227.0399932861328,12.25,25289.900390625,27110.19921875
2026-01-23,344.45001220703125,15469.0,3543.39990234375,9413.5,192.97999572753906,2263.199951171875,226.27999877929688,12.380000114440918,25048.650390625,26804.55078125
2026-01-27,340.54998779296875,15245.0,3393.5,9492.0,193.0,2173.39990234375,224.1199951171875,12.210000038146973,25175.400390625,26554.0
2026-01-28,340.45001220703125,14877.0,3449.199951171875,9433.5,195.3300018310547,2161.10009765625,218.88999938964844,12.220000267028809,25342.75,26737.599609375
2026-01-29,351.79998779296875,14502.0,3384.39990234375,9512.0,194.05999755859375,2150.0,227.07000732421875,12.390000343322754,25418.900390625,26555.400390625
2026-01-30,350.04998779296875,14599.0,3431.800048828125,9597.5,196.69000244140625,2196.199951171875,226.86000061035156,12.09000015258789,25320.650390625,26750.349609375
2026-02-02,362.8999938964844,14384.0,3463.199951171875,9496.5,194.39999389648438,2197.89990234375,231.5800018310547,12.100000381469727,25088.400390625,26749.150390625
2026-02-03,372.04998779296875,14782.0,3527.89990234375,9595.5,199.8699951171875,2208.800048828125,231.4199981689453,11.979999542236328,25727.55078125,27500.30078125
2026-02-04,375.45001220703125,15071.0,3574.0,9639.0,200.9199981689453,2189.800048828125,241.38999938964844,12.489999771118164,25776.0,27825.400390625
2026-02-05,374.1499938964844,15059.0,3572.0,9647.0,201.5,2164.300048828125,237.19000244140625,12.020000457763672,25642.80078125,27664.5
2026-02-06,369.5,14997.0,3578.0,9518.5,201.83999633789062,2186.300048828125,244.22000122070312,11.979999542236328,25693.69921875,27519.55078125
2026-02-09,377.3999938964844,14978.0,3609.60009765625,9590.0,205.8000030517578,2176.199951171875,242.38999938964844,12.085000038146973,25867.30078125,27791.44921875
2026-02-10,379.3500061035156,15146.0,3675.800048828125,9774.0,209.72999572753906,2180.800048828125,238.24000549316406,12.350000381469727,25935.150390625,28173.19921875
2026-02-11,384.70001220703125,15412.0,3674.89990234375,9869.5,206.35000610351562,2188.5,242.80999755859375,12.289999961853027,25953.849609375,28538.69921875
2026-02-12,383.45001220703125,15326.0,3593.10009765625,9840.0,211.02000427246094,2177.5,241.63999938964844,12.199999809265137,25807.19921875,28504.05078125
2026-02-13,380.25,15237.0,3533.39990234375,9760.0,204.6300048828125,2179.5,248.2899932861328,12.140000343322754,25471.099609375,28234.30078125
2026-02-16,377.25,15051.0,3509.699951171875,9697.5,205.86000061035156,2165.39990234375,,,25682.75,28028.19921875
2026-02-17,382.8500061035156,15179.0,3489.199951171875,9826.5,207.67999267578125,2191.199951171875,245.50999450683594,12.289999961853027,25725.400390625,28174.55078125
