Date,Tata Motors CV_Close,Tata Motors CV_Volume,Tata Motors CV_Returns,Tata Motors PV_Close,Tata Motors PV_Volume,Tata Motors PV_Returns,Maruti Suzuki_Close,Maruti Suzuki_Volume,Maruti Suzuki_Returns,NIFTY 50_Close,NIFTY 50_Volume,NIFTY 50_Returns,NIFTY Auto_Close,NIFTY Auto_Volume,NIFTY Auto_Returns,Regime
2026-01-06,368.8999938964844,17493340,-0.012448116847648238,368.8999938964844,17493340.0,-0.012448116847648,17292.0,192182,0.0079860099096473,26178.69921875,383000,-0.0027276473171363,28922.349609375,515100.0,0.0009759490543508,Oct 2024 Crash
2026-01-07,363.3500061035156,10682220,-0.015044694727010754,363.3500061035156,10682220.0,-0.0150446947270107,16809.0,427979,-0.0279319916724496,26140.75,338200,-0.0014496220164682,28692.400390625,339100.0,-0.0079505718537978,Oct 2024 Crash
2026-01-08,359.45001220703125,7353203,-0.010733435615722264,359.45001220703125,7353203.0,-0.0107334356157222,16664.0,238421,-0.0086263311321316,25876.849609375,328500,-0.0100953641584499,28414.94921875,378100.0,-0.0096698487438385,Oct 2024 Crash
2026-01-09,354.1499938964844,8018768,-0.01474479936168216,354.1499938964844,8018768.0,-0.0147447993616821,16501.0,286302,-0.009781565050408,25683.30078125,348800,-0.0074796132854935,28087.650390625,513600.0,-0.0115185434823521,Oct 2024 Crash
2026-01-12,350.54998779296875,9771562,-0.010165201653421163,350.54998779296875,9771562.0,-0.0101652016534211,16582.0,288686,0.0049087934064602,25790.25,275800,0.0041641539637333,28011.75,399500.0,-0.0027022691314305,Oct 2024 Crash
2026-01-13,349.75,7527115,-0.002282093341395952,349.75,7527115.0,-0.0022820933413959,16426.0,312205,-0.0094077915812326,25732.30078125,339500,-0.0022469428853927,27915.099609375,332100.0,-0.0034503517497121,Oct 2024 Crash
2026-01-14,349.79998779296875,6249594,0.000142924354449514,349.79998779296875,6249594.0,0.0001429243544495,16152.0,240043,-0.0166808717886277,25665.599609375,393100,-0.0025921184600641,27721.849609375,314300.0,-0.0069227766586618,Oct 2024 Crash
2026-01-16,353.6000061035156,10735620,0.010863403210854106,353.6000061035156,10735620.0,0.0108634032108541,15859.0,703056,-0.0181401684001981,25694.349609375,434000,0.001120176439965,27596.25,587900.0,-0.0045307081289599,Oct 2024 Crash
2026-01-19,344.0,14364950,-0.027149338059415218,344.0,14364950.0,-0.0271493380594152,16176.0,385141,0.0199886499779304,25585.5,443100,-0.0042363247573811,27632.44921875,585300.0,0.0013117441228427,Oct 2024 Crash
2026-01-20,337.8500061035156,11541900,-0.01787788923396616,337.8500061035156,11541900.0,-0.0178778892339661,15879.0,289609,-0.0183605341246291,25232.5,409800,-0.0137968771374411,26948.099609375,508500.0,-0.0247661582206268,Oct 2024 Crash
2026-01-21,339.25,9873473,0.0041438326807530235,339.25,9873473.0,0.004143832680753,15770.0,345738,-0.006864412116632,25157.5,395600,-0.0029723570791637,26871.25,544900.0,-0.0028517635933134,Oct 2024 Crash
2026-01-22,347.29998779296875,10714260,0.023728777576915938,347.29998779296875,10714260.0,0.0237287775769159,15765.0,352320,-0.0003170577045021,25289.900390625,486400,0.0052628596094603,27110.19921875,487900.0,0.0088923745173745,Oct 2024 Crash
2026-01-23,344.45001220703125,8354700,-0.008206091811429617,344.45001220703125,8354700.0,-0.0082060918114296,15469.0,338669,-0.0187757691087853,25048.650390625,393900,-0.0095393811867061,26804.55078125,589300.0,-0.011274296991835,Oct 2024 Crash
2026-01-27,340.54998779296875,12510460,-0.01132246850297225,340.54998779296875,12510460.0,-0.0113224685029722,15245.0,565768,-0.0144805740513284,25175.400390625,618700,0.0050601528634628,26554.0,648600.0,-0.0093473225235045,Oct 2024 Crash
2026-01-28,340.45001220703125,9425163,-0.00029357095733706373,340.45001220703125,9425163.0,-0.000293570957337,14877.0,1584483,-0.0241390619875369,25342.75,574900,0.0066473464881742,26737.599609375,571000.0,0.0069141978374256,Oct 2024 Crash
2026-01-29,351.79998779296875,13586970,0.03333815590829081,351.79998779296875,13586970.0,0.0333381559082908,14502.0,716545,-0.0252066948981649,25418.900390625,582400,0.0030048195489833,26555.400390625,522100.0,-0.0068143446461856,Oct 2024 Crash
2026-01-30,350.04998779296875,9910289,-0.004974417455153146,350.04998779296875,9910289.0,-0.0049744174551531,14599.0,946509,0.0066887325886084,25320.650390625,508400,-0.0038652340774046,26750.349609375,510300.0,0.0073412268646804,Oct 2024 Crash
2026-02-02,362.8999938964844,19654610,0.03670906028174348,362.8999938964844,19654610.0,0.0367090602817434,14384.0,621514,-0.0147270360983629,25088.400390625,449200,-0.0091723552285208,26749.150390625,526000.0,-4.483002157029681e-05,Oct 2024 Crash
2026-02-03,372.0499877929688,16720220,0.025213541059177835,372.0499877929688,16720220.0,0.0252135410591778,14782.0,638870,0.0276696329254726,25727.55078125,637300,0.0254759323302189,27500.30078125,1020500.0,0.0280812803268795,Oct 2024 Crash
2026-02-04,375.4500122070313,10142350,0.00913862256583231,375.4500122070313,10142350.0,0.0091386225658323,15071.0,451065,0.0195508050331483,25776.0,429800,0.0018831648283172,27825.400390625,549000.0,0.011821674677706,Oct 2024 Crash
2026-02-05,374.1499938964844,14013830,-0.003462560309706597,374.1499938964844,14013830.0,-0.0034625603097064,15059.0,374759,-0.0007962311724504,25642.80078125,343800,-0.0051675674561607,27664.5,455300.0,-0.0057825004623908,Oct 2024 Crash
2026-02-06,369.5,23116970,-0.012428154409567793,369.5,23116970.0,-0.0124281544095677,14997.0,276529,-0.0041171392522744,25693.69921875,375500,0.0019849016468285,27519.55078125,582700.0,-0.0052395387138751,Oct 2024 Crash
2026-02-09,377.3999938964844,8800284,0.02138022705408482,377.3999938964844,8800284.0,0.0213802270540848,14978.0,200034,-0.0012669200506768,25867.30078125,359400,0.0067565810988132,27791.44921875,478800.0,0.0098801917102968,Oct 2024 Crash
2026-02-10,379.3500061035156,8921719,0.0051669640661575755,379.3500061035156,8921719.0,0.0051669640661575,15146.0,360240,0.0112164507944985,25935.150390625,460900,0.0026229876069705,28173.19921875,845500.0,0.0137362394092945,Oct 2024 Crash
2026-02-11,384.7000122070313,10933650,0.014103086905067341,384.7000122070313,10933650.0,0.0141030869050671,15412.0,360742,0.0175623927109467,25953.849609375,331400,0.0007209990483325,28538.69921875,1372700.0,0.01297332252408,Oct 2024 Crash
2026-02-12,383.4500122070313,8324442,-0.0032492850541613327,383.4500122070313,8324442.0,-0.0032492850541613,15326.0,201895,-0.0055800674798858,25807.19921875,419400,-0.0056504292362096,28504.05078125,925600.0,-0.0012140860813038,Oct 2024 Crash
2026-02-13,380.25,15565860,-0.008345317786307871,380.25,15565860.0,-0.0083453177863077,15237.0,208645,-0.0058071251468093,25471.099609375,453500,-0.0130234825765521,28234.30078125,712400.0,-0.0094635671985766,Oct 2024 Crash
2026-02-16,377.25,5004467,-0.007889546351084853,377.25,5004467.0,-0.0078895463510848,15051.0,210175,-0.0122071273872809,25682.75,275800,0.0083094328030934,28028.19921875,336100.0,-0.0072996871463829,Oct 2024 Crash
2026-02-17,382.8500061035156,7843059,0.014844283905939282,382.8500061035156,7843059.0,0.0148442839059392,15179.0,166765,0.0085044183110756,25725.400390625,344100,0.0016606629206374,28174.55078125,398300.0,0.0052215827837449,Oct 2024 Crash
