Date,Adj Close,Close,High,Low,Open,Volume
2025-12-17,346.20001220703125,346.20001220703125,349.95001220703125,345.3999938964844,345.6000061035156,598489
2025-12-18,345.8999938964844,345.8999938964844,347.3500061035156,337.8999938964844,346.70001220703125,1505770
2025-12-19,352.75,352.75,354.75,346.70001220703125,346.70001220703125,1103238
2025-12-22,359.20001220703125,359.20001220703125,360.8500061035156,353.6499938964844,356.29998779296875,1079824
2025-12-23,363.1000061035156,363.1000061035156,366.79998779296875,357.54998779296875,360.75,1202112
2025-12-24,359.29998779296875,359.29998779296875,364.95001220703125,358.5,364.6000061035156,1431153
2025-12-26,358.79998779296875,358.79998779296875,360.45001220703125,354.45001220703125,358.6000061035156,928040
2025-12-29,358.6000061035156,358.6000061035156,362.79998779296875,358.0,358.1000061035156,967644
2025-12-30,361.5,361.5,363.8999938964844,358.0,358.0,748103
2025-12-31,367.5,367.5,368.45001220703125,360.8500061035156,362.0,615628
2026-01-01,367.3999938964844,367.3999938964844,371.0,365.5,368.5,964466
2026-01-02,370.29998779296875,370.29998779296875,372.8500061035156,368.6000061035156,368.6000061035156,525792
2026-01-05,373.5,373.5,375.0,368.1000061035156,368.1000061035156,565636
2026-01-06,368.8999938964844,368.8999938964844,371.3999938964844,360.25,370.04998779296875,788554
2026-01-07,363.3500061035156,363.3500061035156,367.0,359.1499938964844,366.29998779296875,909474
2026-01-08,359.3999938964844,359.3999938964844,365.29998779296875,358.0,362.95001220703125,800658
2026-01-09,354.29998779296875,354.29998779296875,359.75,352.25,358.29998779296875,481931
2026-01-12,351.79998779296875,351.79998779296875,354.0,347.54998779296875,351.79998779296875,2830938
2026-01-13,349.45001220703125,349.45001220703125,351.75,345.5,350.20001220703125,1117570
2026-01-14,349.79998779296875,349.79998779296875,354.1499938964844,347.0,349.3999938964844,606859
2026-01-16,353.6000061035156,353.6000061035156,359.6499938964844,349.75,349.79998779296875,1638580
2026-01-19,343.8999938964844,343.8999938964844,353.29998779296875,338.5,352.5,1201377
2026-01-20,337.8500061035156,337.8500061035156,346.8999938964844,336.70001220703125,344.1000061035156,442493
2026-01-21,339.1499938964844,339.1499938964844,343.70001220703125,335.3500061035156,335.3500061035156,973644
2026-01-22,347.29998779296875,347.29998779296875,351.79998779296875,343.6000061035156,343.6000061035156,442658
2026-01-23,344.20001220703125,344.20001220703125,351.0,342.29998779296875,346.3999938964844,760819
2026-01-27,340.54998779296875,340.54998779296875,345.25,335.8500061035156,340.0,639030
2026-01-28,340.45001220703125,340.45001220703125,346.5,337.0,340.70001220703125,1033957
2026-01-29,351.8500061035156,351.8500061035156,352.54998779296875,335.54998779296875,339.54998779296875,1435908
2026-01-30,349.95001220703125,349.95001220703125,353.0,348.29998779296875,350.54998779296875,843823
2026-02-02,362.8999938964844,362.8999938964844,364.45001220703125,341.5,343.25,1060519
2026-02-03,372.0,372.0,385.0,365.95001220703125,378.79998779296875,2135224
2026-02-04,375.3999938964844,375.3999938964844,377.79998779296875,368.3999938964844,372.25,430364
2026-02-05,374.1499938964844,374.1499938964844,375.3999938964844,364.25,375.3999938964844,574507
2026-02-06,369.8999938964844,369.8999938964844,381.70001220703125,361.04998779296875,363.3999938964844,2141013
2026-02-09,377.29998779296875,377.29998779296875,379.75,369.29998779296875,369.29998779296875,1153196
2026-02-10,379.25,379.25,382.3500061035156,376.8999938964844,379.1000061035156,358496
2026-02-11,384.6499938964844,384.6499938964844,387.20001220703125,381.8500061035156,383.29998779296875,674588
2026-02-12,383.3999938964844,383.3999938964844,386.8999938964844,380.25,385.8999938964844,312110
2026-02-13,380.6000061035156,380.6000061035156,387.1000061035156,374.1499938964844,377.1499938964844,542715
2026-02-16,377.1000061035156,377.1000061035156,379.6499938964844,375.1000061035156,377.20001220703125,732832
2026-02-17,382.8500061035156,382.8500061035156,383.5,374.0,377.0,365077
2026-02-18,382.70001220703125,382.70001220703125,385.5,379.0,380.79998779296875,473080
2026-02-19,375.70001220703125,375.70001220703125,386.6000061035156,374.0,381.04998779296875,344917
2026-02-20,377.8999938964844,377.8999938964844,379.6000061035156,374.3999938964844,375.25,1477446
2026-02-23,379.8500061035156,379.8500061035156,383.25,376.20001220703125,379.0,382317
